No New Paaths,,,,,,
MethodType,OverCollatDollar,UnderCollatDollar,OverCollatBids,UnderCollatBids,,
CreditRequired,-66230789.63,23452675.64,13349,3887,,
CreditRequiredStats05,-15222347.45,35241125.22,9187,5350,,
CreditRequiredStats02,-17778267.44,34457036.12,9543,5212,,
,,,,,,
With New Paths,,,,,,
MethodType,OverCollatDollar,UnderCollatDollar,OverCollatBids,UnderCollatBids,,
CreditRequired," $(80,664,202.61)"," $27,152,025.91 ",16344,4567,,
CreditRequiredStats05," $(22,422,445.53)"," $39,312,378.08 ",11663,6163,,
CreditRequiredStats02," $(25,323,450.13)"," $38,497,464.14 ",12033,6020,,
,,,,,,
Pertaining to New Paths,,,,,,
MethodType,OverCollatDollar,UnderCollatDollar,OverCollatBids,UnderCollatBids,,
CreditRequired," $(14,433,412.97)"," $3,699,350.28 ",2995,680,,
CreditRequiredStats05," $(7,200,098.08)"," $4,071,252.86 ",2476,813,,
CreditRequiredStats02," $(7,545,182.69)"," $4,040,428.02 ",2490,808,,
,,,,,,
,-50%,10%,-17%,20%,,
,,,,,,
,7233314.89,371902.5829,-519,133,,19.44948818
,6888230.278,341077.7411,-505,128,,20.19548463
